repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
3,clean,0,0.0,"[8, 8, 9]",7.2356146561648655,820.3092081044351,1259.521041317162,"(7, 7, 8)",392.0
3,clean,0,0.0,"[9, 9, 11]",1.9454954291961284,846.7853079464879,91.20306151632485,"(8, 8, 9)",576.0
3,clean,0,0.0,"[10, 10, 11]",21.444559311022303,1352.3155086299198,8421.909057855153,"(9, 9, 10)",810.0
3,baseline,2,0.1,"[2, 2, 3]",0.09117884278768097,-112.94410142471311,0.13322244570876557,"(2, 2, 2)",8.0
3,baseline,2,0.1,"[3, 3, 4]",0.0916653997040819,-102.6675550094345,0.13383789946188127,"(2, 3, 3)",18.0
3,baseline,2,0.1,"[4, 4, 5]",0.08303929806421824,-74.93871411076226,0.12886646465071047,"(3, 4, 4)",48.0
3,baseline,2,0.1,"[5, 5, 6]",0.1652104742474161,39.96176965017856,0.5130900879635089,"(4, 4, 5)",80.0
3,baseline,2,0.1,"[6, 6, 7]",1.4639306574143605,373.4219629009528,41.41732956120803,"(5, 5, 6)",150.0
3,baseline,2,0.1,"[7, 7, 9]",3.12865388597769,568.7541951894138,196.22002114368422,"(6, 6, 7)",252.0
3,baseline,2,0.1,"[8, 8, 9]",2.01602665989919,607.0878535094305,81.57021843208356,"(7, 7, 7)",343.0
3,baseline,2,0.1,"[9, 9, 11]",7.199973402160099,993.1891321564215,1046.4431354894984,"(8, 8, 9)",576.0
3,baseline,2,0.1,"[10, 10, 11]",1.871644319505922,903.6881196897068,70.9140557552294,"(9, 8, 9)",648.0
3,baseline,2,0.3,"[2, 2, 3]",,inf,,None,
3,baseline,2,0.3,"[3, 3, 4]",0.06858046334640608,-138.28823048963827,0.08732336821330992,"(2, 2, 2)",8.0
3,baseline,2,0.3,"[4, 4, 5]",0.06566142805671031,-94.3799873925276,0.07138507561094833,"(4, 4, 4)",64.0
3,baseline,2,0.3,"[5, 5, 6]",0.9006680121642582,254.69814625031165,13.174754197342564,"(5, 4, 5)",100.0
3,baseline,2,0.3,"[6, 6, 7]",0.6429017585192724,279.13571122134033,8.604298067370259,"(5, 5, 6)",150.0
3,baseline,2,0.3,"[7, 7, 9]",1.0126100140159482,432.80529049667797,20.356932317017574,"(6, 6, 7)",252.0
3,baseline,2,0.3,"[8, 8, 9]",56.92220937357956,996.3476784417505,53590.54723923768,"(7, 7, 7)",343.0
3,baseline,2,0.3,"[9, 9, 11]",3.8119402860542637,792.9924864614202,314.15131802161744,"(8, 7, 8)",448.0
3,baseline,2,0.3,"[10, 10, 11]",2.4537807085888375,867.5369101005606,128.88860467783675,"(8, 8, 9)",576.0
